Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,SolarHours,Class
0,4.72,4.72,9.44,252,3.3,8.6,0
0,6.38,9.25,15.63,206,1.9,11.3,0
0,0,0,0,266,3.7,6.7,0
0,0,0,0,226,1.1,12.8,0
10.79,22.56,22.56,55.91,244,3.9,1.4,0
0,0,0,0,220,2.9,8.6,0
0,0,0,0,147,3.5,12.6,0
0,0.51,0.51,1.02,338,1.7,0.8,1
6.12,15.29,15.29,36.7,236,3.9,7.1,0
3.23,3.23,3.23,9.69,334,0.9,0.5,0
0,0,0,0,237,2,7.5,0
0.92,16.14,24.44,41.5,180,2.4,9.9,1
5.08,5.08,5.08,15.24,58,1,8.1,0
1.35,21.46,21.46,44.27,234,4.5,3.7,0
0,0,0,0,234,4.5,7.8,0
0.45,4.47,14.31,19.23,234,4.5,4.2,0
0,0,0,0,234,4.5,9.9,0
0,0,0,0,234,4.5,10.8,1
0,1.66,1.66,3.32,234,4.5,8.9,0
0,0,0,0,234,4.5,11.6,0
0,0,0,0,234,4.5,1,0
0,0,0,0,234,4.5,0.9,0
2.1,2.1,5.77,9.97,254,2.6,9.8,0
5.25,15.73,16.78,37.76,202,2.2,3.3,0
0,4.2,4.2,8.4,64,2.8,10,0
0,0,0,0,252,1.9,9.6,0
0,0,0,0,252,1.2,9.1,0
0,0,0,0,228,1.7,10.1,0
0,0,0,0,300,1.7,0.3,0
0,0,0,0,252,1.7,7,0
10.51,14.34,14.34,39.19,301,2.5,4.5,0
0,0,0,0,44,4.4,0,0
0,0,0,0,292,2.9,4,0
0,0,2.39,2.39,346,1,12.3,0
0,0,0,0,213,3.1,11.5,0
0,0,0,0,94,2.2,12,0
0,0,0.48,0.48,179,2.4,8.7,0
0,0,1.9,1.9,253,1,10.2,0
9.06,9.06,9.06,27.18,312,1.1,5.3,0
0,0,4.29,4.29,239,1.2,11.8,0
0,0,0.44,0.44,358,0.8,8.3,0
0,0,0,0,241,0.6,3.4,0
0,0,0,0,66,0.6,9.4,0
4.37,4.37,6.56,15.3,314,1.1,8,0
1.07,1.07,1.07,3.21,67,3,2.7,0
0,0,0,0,74,2.4,12.4,0
0,0,0,0,236,2,4.4,0
0,0,3.11,3.11,84,1.5,4.5,0
0,0,1.04,1.04,275,2.4,2.7,0
0,0,0,0,248,1.5,12.3,0
0,2.11,2.63,4.74,248,1.9,8.8,0
0.43,0.43,0.43,1.29,52,4.2,0.3,0
3.38,6.34,9.3,19.02,246,6.6,10.2,0
3.81,3.81,3.81,11.43,81,1.6,11.6,0
2.54,2.96,4.23,9.73,250,2.6,11.3,0
0,0,0,0,266,1.2,13.3,0
4.79,4.79,4.79,14.37,354,1.4,0.3,0
0,2,2,4,95,4.5,1.9,0
0,3.89,3.89,7.78,297,1.7,5.8,0
0,0,0,0,221,0.6,8.1,0
0,0,0,0,248,2.7,11,0
0,0,0,0,212,3.4,9.9,0
0,0,0,0,247,0.4,10.8,0
1.23,1.23,1.23,3.69,195,1.6,4.4,0
0,0,1.23,1.23,76,1.7,7.2,0
0,1.37,5.5,6.87,205,0.5,6.7,0
0,0.46,2.75,3.21,255,1.4,4.5,0
10.56,19.54,40.67,70.77,243,2,8.1,0
0,0,3.7,3.7,240,2,6.1,0
8.02,8.02,20.33,36.37,273,4.3,11.3,0
0,0,0,0,264,4.1,7.7,0
0,1.07,5.35,6.42,270,2.2,7.1,0
0,0,0,0,164,2,5.3,0
0,0,0,0,264,5.3,5.9,0
0,15.61,19.77,35.38,247,5,7.2,0
2.6,2.6,2.6,7.8,260,2.5,2.8,0
0,0,0,0,172,1.9,13,0
10.11,16.06,16.06,42.23,291,2.5,1,0
0,0,0,0,236,2.4,0.2,0
0,0,0,0,262,2.5,0,0
0,7.73,41.04,48.77,246,1.6,12.3,0
3.04,3.04,3.04,9.12,85,4.2,5,0
0,0.6,3.03,3.63,251,1.8,10.6,0
0,0,0,0,186,1,3.3,0
1.21,1.82,1.82,4.85,171,1.4,0.8,0
1.77,1.77,1.77,5.31,12,1,8.7,0
0,0,0,0,257,1.4,7.8,0
0,0,0,0,304,0.7,7,0
0,1.55,18.05,19.6,245,2.2,5.9,0
4.85,7,14,25.85,257,5.9,7.9,0
0,0,0,0,252,1.6,6.6,0
0,0,0,0,180,2,4.4,0
1.68,1.68,1.68,5.04,56,2.8,0.1,0
0,0.56,0.56,1.12,59,3.3,5.4,0
8.94,13.41,20.12,42.47,299,2.4,0.6,0
2.24,4.47,7.27,13.98,248,3.1,10.7,0
0,0,0,0,245,0.4,11.9,0
7.5,7.5,7.5,22.5,350,1.4,3,0
0,0,0,0,169,2.4,11,0
0,2.5,12,14.5,229,1.8,3.6,0
0,0,0,0,190,2.6,10.7,0
0,0,0,0,144,2.6,12.3,0
0,5.69,5.69,11.38,185,2,9,0
0,2.62,2.62,5.24,88,2.8,8.3,0
0,0,0,0,251,2.4,9.1,0
3.18,12.18,12.18,27.54,119,4.1,6.4,0
0,1.05,1.05,2.1,256,1.2,5.5,0
0,0,0,0,81,3,5.3,0
0,0,0,0,84,3.3,6.3,0
0,0.53,0.53,1.06,251,1.2,8.9,0
0,0,0,0,176,1.4,9.4,0
5.7,7.01,38.57,51.28,260,1.6,3.1,0
0.44,0.88,0.88,2.2,261,2.4,2.7,0
0,0.51,1.01,1.52,232,2.6,5.8,0
0,14.19,22.8,36.99,269,2,7.2,0
0,0.5,2.02,2.52,308,1.5,10.7,0
0,9.94,9.94,19.88,226,2.5,4.8,0
0,1,1.99,2.99,234,3.5,10.7,0
0,0,1.98,1.98,116,4,4.4,0
4.48,9.45,9.45,23.38,261,2.8,4.3,0
0,0,0,0,199,1.7,12.9,0
0,0,0,0,117,2.4,11.1,0
0,1.05,1.57,2.62,176,2.1,12.3,0
0,0,0,0,208,0.9,12.1,0
0,0,0,0,238,0.9,10.3,0
0,1.82,1.82,3.64,281,1.3,8.7,1
0,0,0,0,17,1,7.1,0
0,0,0,0,144,1.9,7.7,0
0,0,0,0,131,2.2,9.7,0
0.46,0.46,0.46,1.38,231,3.3,6,0
0,0,0,0,215,0.3,9.4,0
0,0,0,0,254,0.5,11.4,0
0,0,0,0,141,2.7,6.3,0
0,0,0,0,189,1.8,9.6,0
2.5,4,4,10.5,181,1.5,7,0
0,0.5,2,2.5,143,2.6,9.6,0
0,0,0,0,237,3.7,11.7,0
0,1.5,1.5,3,102,1.4,3.1,0
0,0,0,0,164,1.3,10.1,0
0.5,0.5,0.5,1.5,40,2.6,2.9,1
0,0,0.5,0.5,85,1.7,6.8,1
0,0,0,0,97,1.8,10.8,0
0,0.47,2.38,2.85,47,1.6,2.9,0
0,0,0.95,0.95,323,1.3,9.7,0
0,0,0,0,290,0.8,12.4,0
0,0,0,0,307,2.4,4.2,0
0,0,0,0,205,3.6,9.8,0
0,0,0,0,121,2.6,12.8,0
0,0,3.78,3.78,179,0.4,10.2,0
0,0,0,0,251,1.2,9.9,0
0,0,0,0,117,0.6,11.3,0
0,0,0,0,85,2.4,10.4,0
0,0,1.16,1.16,249,1,4.6,0
0,0,0,0,166,1.4,10.9,0
0,0,0.48,0.48,142,1.5,10.6,0
0,0,0,0,237,0.5,10.2,0
1.47,1.47,1.96,4.9,50,3.9,3.3,0
0,0,0,0,56,1.7,4.1,0
0,0,0,0,108,1.6,9.3,0
0.51,0.51,0.51,1.53,37,2,7.5,0
0,0,0.46,0.46,237,2.4,9.6,0
0,0,6.93,6.93,231,2.3,10.1,0
0,0.46,0.46,0.92,190,3.1,10.9,0
3.69,31.85,31.85,67.39,357,1.3,8.5,0
0,0,1.84,1.84,51,2.4,12.1,0
0,0,0,0,271,2.4,0.7,0
0.46,6.46,8.77,15.69,291,2.2,6.2,0
0,7.85,7.85,15.7,165,3.2,12.7,0
0,0,0,0,298,1.3,3.8,0
0,1.5,1.5,3,217,2.1,5,0
0,0,0,0,79,3,11.2,0
0,0,0,0,236,1.1,6.3,0
0.5,0.5,0.5,1.5,247,1.5,9.3,0
0,0,0,0,221,0.6,7.2,0
0,0.9,3.16,4.06,300,1,7.2,0
0,0,0,0,251,1.2,8.8,0
8.67,8.67,8.67,26.01,329,2.4,3.4,0
0,0,0,0,264,3.4,7.1,0
0.48,8.19,17.34,26.01,31,2.6,9.8,0
0.48,0.48,0.96,1.92,249,2.2,0.6,1
0,0,0.48,0.48,250,2.3,12.2,0
2.41,2.41,2.89,7.71,251,2.4,9.2,0
0,0,0,0,19,1.8,0.4,1
3.37,3.37,3.37,10.11,275,3.3,2.6,0
12.52,22.64,22.64,57.8,282,2,3.1,0
0,8.67,9.15,17.82,199,2,11.3,0
0,0,0,0,87,2.3,12,0
0,0,0,0,293,0.6,13,0
0,0,0,0,192,3.2,13.2,0
0,0.48,1.44,1.92,261,1.2,11.3,0
0,0,0,0,66,2.4,9.5,0
2.89,4.81,5.3,13,257,3.1,10.2,0
0,0,0,0,185,2.4,5.3,0
0,0,0,0,252,1.3,9.8,0
0,0,1.43,1.43,104,3,5.1,0
0,0,0,0,106,3,2.8,0
0,0.48,3.35,3.83,233,0.7,10.4,0
30.14,30.14,30.14,90.42,204,3.1,5.3,0
9.11,9.11,9.11,27.33,46,2,6.6,0
1.91,5.27,8.63,15.81,271,1.6,8,0
0,0,0,0,281,1.6,5.9,0
0,0,0,0,239,2.7,5.9,0
0.98,0.98,0.98,2.94,56,5.2,1,0
0,9.35,13.79,23.14,218,2.2,13,0
0.49,0.49,0.49,1.47,268,1.8,4.7,0
0,0,0,0,63,3.7,8,0
0,0,0,0,216,3.3,6.8,0
0,0,0,0,256,2.9,8.5,0
0,0,0,0,244,2.4,11.3,0
0,0,0,0,217,3,12.6,0
0,0,22.55,22.55,82,3.6,12.3,0
0.51,5.63,5.63,11.77,250,2.2,12.6,1
0,0,0.51,0.51,353,1.6,7.8,0
6.66,11.79,11.79,30.24,331,1.1,10.9,0
0.52,1.54,1.54,3.6,258,1.2,7.7,0
0,0,0,0,288,1.4,8.6,0
0,0,0,0,183,2.2,10.1,0
0,0.52,0.52,1.04,63,4.4,2.9,0
0,0,0,0,258,0.6,8.5,0
4.92,20.16,39.33,64.41,152,2.6,7.5,0
0,0,0,0,211,2.1,9.8,0
0,0,0,0,230,0.8,6.9,0
0.98,0.98,4.91,6.87,77,5.1,6.7,0
0,0.49,0.49,0.98,224,0.9,9.7,0
0,1,1.5,2.5,311,2.2,7.9,0
0,8.53,31.62,40.15,212,2.5,11.7,0
9.39,10.39,10.39,30.17,263,3.4,8,0
0,0,0.49,0.49,210,2.5,13,0
0,0,1.98,1.98,265,1.3,3.8,0
0,0,0,0,43,2.2,13.2,0
0,0.48,0.48,0.96,258,3.1,2.6,0
0,0.49,0.49,0.98,190,2,13.3,0
0,0,0,0,261,3.6,3.5,0
0,2.42,5.81,8.23,201,3.3,13.3,0
0,0,0,0,211,3.4,11.8,0
0,0.49,18.39,18.88,223,2,10,0
0,0,0,0,286,2.8,8.2,0
0,0,0,0,261,4,7.3,0
0,3.87,3.87,7.74,179,2.4,5.3,0
0,0.97,1.45,2.42,76,2.9,12.1,0
0,0,0,0,225,0.5,2.7,0
0,0,0,0,243,1.1,10.7,0
0,0,0.5,0.5,194,1.7,11.4,0
0,0,0,0,239,2.7,3.5,0
0.5,36,41,77.5,280,1.2,7.2,0
2.95,12.31,12.31,27.57,115,5.9,0.6,0
20.69,21.18,26.11,67.98,18,5.9,0,0
0.49,0.49,0.49,1.47,172,1.7,1.6,1
6,7.5,7.5,21,5,4.1,3.7,0
0,2,6,8,261,3.1,2.8,0
24,24,33,81,276,2.8,6.1,0
9.64,13.14,13.14,35.92,230,1.2,5.5,0
14,14,14,42,158,4.6,0.4,0
5.5,5.5,5.5,16.5,119,3.6,6.1,1
2.38,2.38,2.38,7.14,41,4.4,4.7,1
0,0,1.99,1.99,278,2.1,6.1,0
0,0,0,0,250,0.4,3.3,0
21.89,26.86,30.35,79.1,274,3.1,1.1,0
0,22.66,26.14,48.8,198,1.8,1.8,0
0,2.91,4.65,7.56,264,4,8.5,0
0,0,2.91,2.91,293,2.9,11.7,0
0,0,0,0,98,3.2,7.9,0
0,0,0,0,77,3.7,4.4,0
0,0,0,0,41,3.4,0,0
0,0,0,0,146,2.5,7,0
0,0,0,0,236,2.7,11.6,0
0,0,0,0,168,4.4,11.8,0
0,0,0,0,181,3.9,8.4,0
0,0,0,0,213,3.7,9.9,0
0.61,0.61,0.61,1.83,3,1.5,5.9,0
0,1.22,16.46,17.68,121,1.5,4.2,1
0,0,0,0,22,2.9,9.9,0
0,2.44,3.66,6.1,202,2.2,0.9,0
0,4.88,15.85,20.73,156,3,8.1,0
0,0,4.88,4.88,143,2.5,6.7,0
0,0,0,0,198,2.4,8,0
0,0.49,0.49,0.98,197,2.4,6.9,0
0,0,0,0,269,2.2,5.8,0
0,0.49,0.49,0.98,191,4,2,0
0,0,0,0,253,1,8.7,0
0,5.39,8.33,13.72,205,3,8.6,0
0,0,5.39,5.39,207,0.7,7.8,0
0,14.69,14.69,29.38,45,4.8,7.7,0
0,4.31,81.19,85.5,344,1.1,0.2,0
2.12,2.12,5.83,10.07,140,1.9,0.2,0
0,0,0,0,242,1.6,5.3,0
0,0,0,0,73,4.4,2.4,0
0,0,14.84,14.84,46,2.3,3.5,0
0.71,6.39,8.52,15.62,277,3,3.5,0
0,0,0.71,0.71,335,1,3.5,0
0,0,0,0,152,2.2,3.5,0
0,0,0,0,177,2.1,3.5,0
0.71,0.71,0.71,2.13,16,2.8,3.5,0
0,0,0.71,0.71,179,3.2,3.5,0
0,0,0,0,145,3,3.5,1
0,0,0,0,101,5.1,3.5,0
0,0,0,0,146,3.1,3.5,0
0,0,0,0,113,4.2,3.5,0
0.08,0.16,0.24,0.48,263,3.4,10.1,0
0.08,0.16,0.24,0.48,158,3.2,11.4,0
0.08,0.16,0.24,0.48,75,2.2,10,0
0.18,0.36,0.74,1.28,75,0.8,9.4,0
26.63,26.85,30.34,83.82,219,2.4,8.5,0
4.36,30.99,31.21,66.56,313,1.6,11.4,0
0.25,4.61,31.24,36.1,165,2,6.6,0
45.85,48.98,49.85,144.68,15,0.8,4.7,0
0,8.8,34.03,42.83,171,3.9,10.4,0
0,0,8.8,8.8,205,1.4,7.4,0
0,0,0,0,240,1.7,9.2,0
0,13.52,14.1,27.62,216,2,11.5,0
1.34,1.34,14.86,17.54,272,4.2,3.4,0
0.56,1.9,1.9,4.36,206,3.5,12.4,0
0.28,0.84,2.18,3.3,25,2.2,0,0
0.28,0.56,1.12,1.96,191,3.6,9.1,0
0,0.28,0.56,0.84,205,2.3,0.7,0
0,0,0,0,211,2.9,12.3,0
0,0,0,0,269,2.4,11.5,0
0.5,0.5,0.5,1.5,236,6.6,9.4,0
0,0.5,0.5,1,195,1.9,11.6,0
0,0,0,0,189,2.8,5.3,0
3,3,3,9,4,1.6,6.4,0
0,3,3,6,290,3,10,0
0,0,0,0,37,2.4,12.1,0
6.24,6.24,6.76,19.24,113,1.3,0,0
1.04,1.04,7.28,9.36,72,2.9,1.8,0
0,0,1.04,1.04,270,2.1,10.5,0
0,0,0,0,25,2.1,9.1,0
11.44,11.96,22.88,46.28,13,1.7,0.4,0
0,0,0,0,241,2.3,7.7,0
0,0,0,0,216,0.8,11.3,0
0,0,0,0,34,3.3,10.7,0
0,1.62,31.13,32.75,221,3,1.7,0
7.51,7.51,7.51,22.53,234,3.1,9.4,0
0,0,0,0,262,5.2,8.5,0
0,0,24.56,24.56,291,2.4,7,0
4.84,4.84,4.84,14.52,277,3.5,2.8,0
0,1.34,6.18,7.52,235,4.3,8.9,0
0,0,0,0,211,0.3,8.5,0
0,0,0,0,114,2.7,11.5,0
0,0,0,0,206,2.8,11,0
0,0,0,0,218,2,8.1,0
0,0,0,0,223,2,1.9,0
2.46,2.46,2.46,7.38,81,1.5,0.4,0
0,21.58,24.04,45.62,83,4.2,2,0
0,0,0,0,163,3.8,11.6,0
0,0,0,0,161,1.8,12.8,0
0,0,0,0,240,0.9,12.5,0
0,0,0,0,133,2.3,10.2,0
0,0,0,0,71,4,10.3,0
0,0,0,0,89,3.7,0.5,0
0,0,0,0,102,3.6,1.7,0
0,0,0,0,50,3.4,1.6,0
0,0,0,0,313,1.5,4.2,0
0,0,0,0,61,2.9,7.9,0
7.69,8.68,8.68,25.05,23,2.2,0.1,0
7.95,22.16,29.85,59.96,40,0.5,1.3,0
0,7.95,22.16,30.11,55,2.4,0,0
0,0,0,0,96,2.2,4,0
0,0,0,0,200,3.1,6.9,0
0,0,0,0,144,0.8,4.3,0
0,0,0,0,36,2.8,2.9,0
0,4.83,4.83,9.66,23,4.6,1,0
4.29,4.29,4.29,12.87,27,3.7,0.5,0
2.68,3.22,3.22,9.12,223,1.3,3.3,0
0,0,0.61,0.61,243,2.2,3.9,0
0,4.84,4.84,9.68,259,1.3,10.3,0
0,0,1.81,1.81,217,2.9,11.4,0
0,4.44,14.32,18.76,200,2.4,12.5,0
0,0,0,0,51,2.5,5.2,0
0,0,2.47,2.47,264,2.5,6.9,0
0,0,0,0,71,2.9,7.1,0
0,0,0,0,269,1.4,9,0
0,3.31,3.86,7.17,279,2,3.7,0
0,0,1.1,1.1,244,2.2,7.2,0
0,0,0,0,212,3,8.8,0
2.76,2.76,2.76,8.28,55,4.7,0.3,0
0,1.66,30.02,31.68,154,3.1,0.2,0
0,0,0,0,290,0.6,8.8,0
0,0,0,0,81,5.1,0,0
1.32,6.12,8.66,16.1,242,1.8,5.3,0
3.11,3.39,4.82,11.32,252,1.3,6.1,0
0,0,0,0,260,0.6,5.4,0
0,0,0.72,0.72,166,0.7,9.1,0
0,2.89,3.62,6.51,318,2.1,6.9,0
0,0,0,0,262,2.2,8.9,0
3.51,4.21,4.91,12.63,14,2.9,0,0
0,0,0,0,278,1.7,3.8,0
2.11,2.11,2.11,6.33,17,4.4,2.2,0
8.42,16.14,16.14,40.7,307,1.2,9.8,0
0,0.59,0.59,1.18,128,1,11.7,0
0,0,0,0,232,3.7,2.4,0
31.99,31.99,34.36,98.34,286,6,0.5,0
0,0.6,0.6,1.2,241,4.1,11,0
12.44,12.44,12.44,37.32,25,3.2,0.6,0
16.45,16.45,16.45,49.35,231,2.1,8.4,0
0,4.7,11.16,15.86,102,4.3,2.5,0
0.59,0.59,18.21,19.39,189,3.1,12.6,0
0,0,0,0,105,3.7,0.3,0
0,0,0,0,295,3.8,0.2,0
0,0,5.75,5.75,101,1.7,10.7,0
0,0,0,0,98,2.2,0,0
0.57,3.45,8.05,12.07,226,3.3,8.7,0
0,0,1.06,1.06,273,2.6,10.1,0
3.73,3.73,3.73,11.19,133,2.6,0,0
0,0,0,0,217,1.8,0,0
0,2.66,15.97,18.63,91,2.3,9.1,0
0.56,0.56,0.56,1.68,141,2.2,10,0
0,0,0,0,136,3,10.3,0
0,0,0.55,0.55,95,3.9,1.6,0
0,0,0,0,354,1,1.5,0
0,0,0,0,178,1.2,10.3,0
0,0,0,0,323,1.7,0.4,0
0,34.08,73.31,107.39,231,3.7,6.3,0
0,0,0,0,295,2.2,2.4,0
0,0,0,0,107,4,0,0
0,0,0,0,160,1.5,8.6,0
57.08,72.43,72.43,201.94,352,0.4,2.5,1
0,0,7.37,7.37,307,0.3,5.9,0
0,0.57,1.8,2.37,173,2.2,8.8,0
9.56,11.44,16.66,37.66,288,1.9,4.2,0
26.94,27.22,43.43,97.59,150,3.2,0.1,0
0,0,0,0,226,0.3,7.2,0
0,0,0.5,0.5,76,0.6,3.1,0
0,0,4.5,4.5,217,0.4,2.2,0
0,2,3,5,306,0.4,4.2,0
0,0,0,0,191,0.9,3.8,0
0,0,0,0,298,1.2,8.4,0
12.46,24.37,34.12,70.95,334,1.3,0.3,0
0,0,2.17,2.17,269,0.7,2,0
0,0.54,5.42,5.96,251,1,8.3,0
20.77,20.77,21.93,63.47,25,0.3,6.6,1
0,2.3,4.03,6.33,191,3.5,9.8,0
0,1.73,2.31,4.04,18,1.3,4,0
0,0,0,0,103,4.1,2.6,0
36.68,42.15,42.15,120.98,51,1.6,8,1
0,0,0,0,112,2.2,9.9,0
0,0,0,0,47,1.6,10.5,0
0,0,0,0,71,2.1,9.6,0
11.5,11.5,11.5,34.5,302,1.7,2.6,0
0,4,4.5,8.5,263,1.9,7.1,0
0,18.5,20,38.5,238,5,2.3,0
4.5,4.5,5,14,6,2.4,7.9,0
0,22.41,22.41,44.82,266,4.1,4.9,0
0,0,0,0,20,3.3,3.4,0
0,0,0.58,0.58,75,4,1.6,0
0,0,3.45,3.45,25,3,7.1,0
6.89,7.47,7.47,21.83,22,2.3,5.5,0
0,1.15,5.17,6.32,213,2.2,0,0
0.58,0.58,0.58,1.74,2,1,0.3,0
0,0,0,0,58,1.3,12.8,0
0.58,0.58,1.16,2.32,16,2.1,0,0
2.32,6.96,23.75,33.03,280,2.5,11.9,0
0,0,0,0,178,1.3,11.9,0
0,0,0,0,120,3.1,11.9,1
0,0.57,5.66,6.23,263,1.4,5.7,0
10.18,22.06,22.06,54.3,257,3.3,10.5,0
0,0,0,0,287,2.3,10.1,0
0,0,0,0,145,2.2,7.7,1
0,0,1.13,1.13,169,1.1,10.3,0
0,0,0,0,90,3.9,5.4,0
0,0,6.46,6.46,281,2.6,10.2,0
0,0,3.52,3.52,142,2.4,6.4,0
0,1.17,4.11,5.28,243,1.8,10,0
0,0,2.35,2.35,197,1.6,10.2,0
0,0,0,0,260,0.7,9.3,0
0,0.59,3.52,4.11,282,1,7.5,0
0,0,0,0,245,2,4.9,0
0,0,0,0,199,1.2,1.5,0
7.17,13.15,13.15,33.47,21,1.3,2.8,0
8.96,25.68,30.46,65.1,259,4.3,2.6,0
0.6,2.39,4.18,7.17,250,2.6,0.1,0
0,1.8,6.6,8.4,273,4.4,2,0
25.8,30,30,85.8,202,1,0,0
0,0,6,6,283,1,6.6,0
0,13.36,16.84,30.2,14,2.1,0.7,0
5.23,11.04,27.29,43.56,275,1.5,3.5,0
1.74,1.74,1.74,5.22,250,1.1,3.7,0
0,0,0,0,208,1.3,8.7,0
0,2.32,3.48,5.8,262,1.6,0.9,0
10.64,23.07,23.07,56.78,358,0.9,3.9,0
0.59,0.59,2.37,3.55,258,3.3,8.8,0
0,11.24,11.24,22.48,262,3.3,1.5,0
7.5,7.5,7.5,22.5,351,1.7,5.2,0
0,0,0,0,346,1.9,0,0
2,2,2,6,238,4.1,6.4,0
0,0,7,7,230,5.5,7.3,0
0,0,0,0,101,1.8,11.3,1
18.2,18.2,23.17,59.57,19,2.5,0.1,0
0,0,0,0,228,2.3,11.4,0
6.07,11.03,28.13,45.23,284,2.7,8.3,0
6,6,6,18,274,4.2,9.9,0
9.68,10.33,10.33,30.34,321,1.8,0.8,0
5.81,5.81,5.81,17.43,21,2.4,0,0
0,0,0,0,236,2.2,1.7,0
0,0,0,0,73,3.8,12.3,0
22.43,44.86,44.86,112.15,56,4,0.1,0
0,0,0,0,249,2.1,12,0
0,0,0,0,290,2.2,6.2,0
0,1.08,1.08,2.16,244,3.5,10.9,0
0,0,0,0,212,2.4,9.9,0
1.75,12.82,12.82,27.39,242,1.2,0,0
0,0,22.14,22.14,140,1.6,10.2,0
9.05,115.25,127.32,251.62,191,3.1,11.5,0
0,0,0,0,74,3.1,9.2,0
0,0,11.54,11.54,245,1.5,7.6,0
0,0,0,0,54,2.5,4.6,0
0,0.54,0.54,1.08,185,2.6,3.8,0
5.94,22.71,22.71,51.36,16,3.3,0.6,0
0,1.08,5.41,6.49,243,0.9,4.4,0
0,0,0,0,353,0.6,1.8,0
0,5.1,23.8,28.9,188,2.9,8.3,0
16.43,35.7,53.84,105.97,342,0.9,6.4,1
0,2.27,2.84,5.11,263,2.2,3.6,0
2.26,4.53,4.53,11.32,238,1.9,5.6,0
